更新时间,#genre#
20260731 01:40,url


whitelist,#genre#
CCTV11,http://39.134.67.108/PLTV/88888888/224/3221225517/1.m3u8
东南卫视,http://39.134.67.108/PLTV/88888888/224/3221225950/1.m3u8
湖北卫视,http://39.134.67.108/PLTV/88888888/224/3221225975/1.m3u8
中国|CGTN-Documentary,http://39.134.67.108/PLTV/88888888/224/3221225509/1.m3u8
CCTV10,http://39.134.67.108/PLTV/88888888/224/3221225677/1.m3u8
海南卫视,http://39.134.67.108/PLTV/88888888/224/3221226026/1.m3u8
CCTV6,http://39.134.67.108/PLTV/88888888/224/3221225814/1.m3u8
山东卫视,http://39.134.67.108/PLTV/88888888/224/3221225952/1.m3u8
CCTV4,http://39.134.67.108/PLTV/88888888/224/3221225797/1.m3u8
CCTV17,http://39.134.67.108/PLTV/88888888/224/3221225708/1.m3u8
天津卫视,http://39.134.67.108/PLTV/88888888/224/3221225972/1.m3u8
西藏卫视,http://39.134.67.108/PLTV/88888888/224/3221225951/1.m3u8
浙江卫视,http://39.134.67.108/PLTV/88888888/224/3221225959/1.m3u8
黑龙江农业科教,http://39.134.67.108/PLTV/88888888/224/3221225994/1.m3u8
CCTV13,http://39.134.67.108/PLTV/88888888/224/3221225812/1.m3u8
CCTV14,http://39.134.67.108/PLTV/88888888/224/3221225674/1.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
CETV4,http://39.134.67.108/PLTV/88888888/224/3221225750/1.m3u8
CCTV2,http://39.134.67.108/PLTV/88888888/224/3221225599/1.m3u8
深圳卫视,http://39.134.67.108/PLTV/88888888/224/3221225943/1.m3u8
重庆卫视,http://39.134.67.108/PLTV/88888888/224/3221225963/1.m3u8
咪咕视频,http://39.134.67.108/PLTV/88888888/224/3221225895/1.m3u8
山西卫视,http://39.134.67.108/PLTV/88888888/224/3221226009/1.m3u8
东方卫视,http://39.134.67.108/PLTV/88888888/224/3221225942/1.m3u8
贵州卫视,http://39.134.67.108/PLTV/88888888/224/3221225974/1.m3u8
四川卫视,http://39.134.67.108/PLTV/88888888/224/3221225970/1.m3u8
CCTV12,http://39.134.67.108/PLTV/88888888/224/3221225669/1.m3u8
CCTV1,http://39.134.67.108/PLTV/88888888/224/3221225816/1.m3u8
河北卫视,http://39.134.67.108/PLTV/88888888/224/3221225961/1.m3u8
CCTV9,http://39.134.67.108/PLTV/88888888/224/3221225676/1.m3u8
江苏卫视,http://39.134.67.108/PLTV/88888888/224/3221225938/1.m3u8
CCTV7,http://39.134.67.108/PLTV/88888888/224/3221225671/1.m3u8
广东卫视,http://39.134.67.108/PLTV/88888888/224/3221225966/1.m3u8
CCTV3,http://39.134.67.108/PLTV/88888888/224/3221225799/1.m3u8
CCTV5+,http://39.134.67.108/PLTV/88888888/224/3221225507/1.m3u8
CCTV16,http://39.134.67.108/PLTV/88888888/224/3221225893/1.m3u8
北京卫视,http://39.134.67.108/PLTV/88888888/224/3221225931/1.m3u8
广西卫视,http://39.134.67.108/PLTV/88888888/224/3221226024/1.m3u8
CCTV5,http://39.134.67.108/PLTV/88888888/224/3221225818/1.m3u8
CCTV15,http://39.134.67.108/PLTV/88888888/224/3221225513/1.m3u8
咪咕体育,http://39.134.67.108/PLTV/88888888/224/3221225897/1.m3u8
江西卫视,http://39.134.67.108/PLTV/88888888/224/3221225935/1.m3u8
吉林卫视,http://39.134.67.108/PLTV/88888888/224/3221226013/1.m3u8
CETV1,http://39.134.67.108/PLTV/88888888/224/3221225563/1.m3u8
安徽卫视,http://39.134.67.108/PLTV/88888888/224/3221225925/1.m3u8
中国|CGTN,http://39.134.67.108/PLTV/88888888/224/3221225510/1.m3u8
CCTV8,http://39.134.67.108/PLTV/88888888/224/3221225795/1.m3u8
Scares by Shudder (720p),http://206.212.244.63/147/index.m3u8
NBC News NOW HD (720p),http://206.212.244.63/127/index.m3u8
Nicktoons West (1080p),http://206.212.244.63/3152/index.m3u8
Aspire (1080p),http://206.212.244.63/10/index.m3u8
FYI (720p),http://206.212.244.63/78/index.m3u8
WDAF-TV 4.2 (576p),http://206.212.244.63/9/index.m3u8
Altitude Sports (720p),http://206.212.244.63/6153/index.m3u8
KLFY-TV 10.1 (720p),http://206.212.244.63/33/index.m3u8
Disney Channel West (720p),http://206.212.244.63/3146/index.m3u8
PBS Kids (720p),http://206.212.244.63/669/index.m3u8
ACC Network (720p),http://206.212.244.63/2486/index.m3u8
Game Show Network (1080p),http://206.212.244.63/4237/index.m3u8
Freeform West (720p),http://206.212.244.63/70/index.m3u8
Law & Crime (720p),http://206.212.244.63/102/index.m3u8
FanDuel Racing (720p),http://206.212.244.63/6139/index.m3u8
MeTV+ (720p),http://206.212.244.63/111/index.m3u8
WCBS-TV 2.1 (720p),http://206.212.244.63/32/index.m3u8
FETV (720p),http://206.212.244.63/60/index.m3u8
Cleo TV (720p),http://206.212.244.63/38/index.m3u8
NBC Sports Chicago (720p),http://206.212.244.63/6141/index.m3u8
Dog TV (720p),http://206.212.244.63/56/index.m3u8
PBS Kids 24/7 (1080p),http://206.212.244.63/672/index.m3u8
Freeform (1080p),http://40.160.24.52/FREEFORM/index.m3u8
Showtime 2 (1080p),http://40.160.24.55/SHOWTIME_2/index.m3u8
National Geographic (720p),http://40.160.24.53/NAT_GEO/index.m3u8
KADN-TV 15.1 (720p),http://206.212.244.63/65/index.m3u8
WeatherNation (1080p),http://40.160.24.55/WEATHER_NATION/index.m3u8
Paramount Network (720p),http://40.160.24.55/PARAMOUNT_CHANNEL/index.m3u8
National Geographic West (720p),http://206.212.244.63/122/index.m3u8
Pursuit Channel (1080p),http://40.160.24.55/PURSUIT/index.m3u8
Sundance TV (720p),http://40.160.24.55/SUNDANCE/index.m3u8
MTV Live (1080p),http://40.160.24.53/MTV_LIVE/index.m3u8
Bravo West (1080p),http://40.160.24.52/BRAVO_WEST/index.m3u8
Up TV (1080p),http://40.160.24.55/Up_TV/index.m3u8
SEC Network (720p),http://40.160.24.55/SEC_NETWORK/index.m3u8
World Fishing Network (1080p),http://40.160.24.55/WORLD_FISHING_NETWORK/index.m3u8
Lifetime (720p),http://40.160.24.53/LIFETIME/index.m3u8
USA Network (1080p),http://40.160.24.55/USA_NETWORK/index.m3u8
NewsNation (720p),http://40.160.24.58/NEWSNATION/index.m3u8
BabyTV US (576p),http://206.212.244.63/641/index.m3u8
Newsmax TV (720p),http://40.160.24.53/NEWSMAX/index.m3u8
Starz Encore (1080p),http://40.160.24.55/STARZ_ENCORE/index.m3u8
Hallmark Family (1080p),http://40.160.24.53/HALLMARK_DRAMA/index.m3u8
MTV (720p),http://40.160.24.53/MTV/index.m3u8
MeTV (720p),http://40.160.24.53/METV/index.m3u8
VH1 West (720p),http://40.160.24.55/VH1_WEST/index.m3u8
Smithsonian Channel (1080p),http://40.160.24.55/SMITHSONIAN/index.m3u8
MTV2 (1080p),http://40.160.24.53/MTV2/index.m3u8
Laff (1080p),http://40.160.24.53/LAFF_TV/index.m3u8
Sportsman Channel (720p),http://40.160.24.55/Sportsman_Channel/index.m3u8
